file,issue_type,details
1996/fberlin96-1.html,missing_director,No Director listed in film-credits
1996/fberlin96-1.html,missing_imdb_link,No IMDB link in film card
1996/fberlin96-1.html,missing_poster_reference,No poster image reference found
1996/fberlin96-2.html,missing_director,No Director listed in film-credits
1996/fberlin96-2.html,missing_imdb_link,No IMDB link in film card
1996/fberlin96-2.html,missing_poster_reference,No poster image reference found
1996/fberlin96-3.html,missing_director,No Director listed in film-credits
1996/fberlin96-3.html,missing_imdb_link,No IMDB link in film card
1996/fberlin96-3.html,missing_poster_reference,No poster image reference found
1996/fberlin96-4.html,missing_director,No Director listed in film-credits
1996/fberlin96-4.html,missing_imdb_link,No IMDB link in film card
1996/fberlin96-4.html,missing_poster_reference,No poster image reference found
1996/fberlin96-5.html,missing_director,No Director listed in film-credits
1996/fberlin96-5.html,missing_imdb_link,No IMDB link in film card
1996/fberlin96-5.html,missing_poster_reference,No poster image reference found
1996/fberlin96.html,missing_director,No Director listed in film-credits
1996/fberlin96.html,missing_imdb_link,No IMDB link in film card
1996/fberlin96.html,missing_poster_reference,No poster image reference found
1996/ffilmfest.html,missing_director,No Director listed in film-credits
1996/ffilmfest.html,missing_imdb_link,No IMDB link in film card
1996/ffilmfest.html,missing_poster_reference,No poster image reference found
1996/foscar.html,missing_imdb_link,No IMDB link in film card
1996/foscar.html,missing_poster_reference,No poster image reference found
1996/foscar96.html,missing_imdb_link,No IMDB link in film card
1996/foscar96.html,missing_poster_reference,No poster image reference found
1996/fsiff96-1.html,missing_director,No Director listed in film-credits
1996/fsiff96-1.html,missing_imdb_link,No IMDB link in film card
1996/fsiff96-1.html,missing_poster_reference,No poster image reference found
1996/fsiff96-2.html,missing_director,No Director listed in film-credits
1996/fsiff96-2.html,missing_imdb_link,No IMDB link in film card
1996/fsiff96-2.html,missing_poster_reference,No poster image reference found
1996/fsiff96-3.html,missing_director,No Director listed in film-credits
1996/fsiff96-3.html,missing_imdb_link,No IMDB link in film card
1996/fsiff96-3.html,missing_poster_reference,No poster image reference found
1996/fsiff96-4.html,missing_imdb_link,No IMDB link in film card
1996/fsiff96-4.html,missing_poster_reference,No poster image reference found
1996/fsiff96-5.html,missing_imdb_link,No IMDB link in film card
1996/fsiff96-5.html,missing_poster_reference,No poster image reference found
1996/fsiff96.html,missing_director,No Director listed in film-credits
1996/fsiff96.html,missing_imdb_link,No IMDB link in film card
1996/fsiff96.html,missing_poster_reference,No poster image reference found
1996/rjumanji.html,missing_director,No Director listed in film-credits
1996/rjumanji.html,missing_imdb_link,No IMDB link in film card
1996/rjumanji.html,missing_poster_reference,No poster image reference found
1996/rpreach.html,missing_imdb_link,No IMDB link in film card
1996/rpreach.html,missing_poster_reference,No poster image reference found
1996/rtodiefor.html,missing_director,No Director listed in film-credits
1996/rtodiefor.html,missing_imdb_link,No IMDB link in film card
1996/rtodiefor.html,missing_poster_reference,No poster image reference found
1997/f1997recap.html,missing_director,No Director listed in film-credits
1997/f1997recap.html,missing_imdb_link,No IMDB link in film card
1997/f1997recap.html,missing_poster_reference,No poster image reference found
1997/fberlin97.html,missing_director,No Director listed in film-credits
1997/fberlin97.html,missing_imdb_link,No IMDB link in film card
1997/fberlin97.html,missing_poster_reference,No poster image reference found
1997/fccloset.html,empty_content,Article body has only 1 <p> tag(s)
1997/fccloset.html,missing_director,No Director listed in film-credits
1997/fccloset.html,missing_imdb_link,No IMDB link in film card
1997/fccloset.html,missing_poster_reference,No poster image reference found
1997/fccloset.html,thin_content,Modern content is 0% of legacy length (0 vs 18366 chars)
1997/fcinefest18-1.html,missing_director,No Director listed in film-credits
1997/fcinefest18-1.html,missing_imdb_link,No IMDB link in film card
1997/fcinefest18-1.html,missing_poster_reference,No poster image reference found
1997/fcinefest18-2.html,missing_imdb_link,No IMDB link in film card
1997/fcinefest18-2.html,missing_poster_reference,No poster image reference found
1997/ffastcheap.html,missing_director,No Director listed in film-credits
1997/ffastcheap.html,missing_imdb_link,No IMDB link in film card
1997/ffastcheap.html,missing_poster_reference,No poster image reference found
1997/flicensed.html,missing_director,No Director listed in film-credits
1997/flicensed.html,missing_imdb_link,No IMDB link in film card
1997/flicensed.html,missing_poster_reference,No poster image reference found
1997/foscar-cover.html,empty_content,Article body has only 1 <p> tag(s)
1997/foscar-cover.html,missing_director,No Director listed in film-credits
1997/foscar-cover.html,missing_imdb_link,No IMDB link in film card
1997/foscar-cover.html,missing_poster_reference,No poster image reference found
1997/foscar-cover.html,thin_content,Modern content is 13% of legacy length (51 vs 365 chars)
1997/foscar2.html,missing_imdb_link,No IMDB link in film card
1997/foscar2.html,missing_poster_reference,No poster image reference found
1997/fsiff97-1.html,missing_director,No Director listed in film-credits
1997/fsiff97-1.html,missing_imdb_link,No IMDB link in film card
1997/fsiff97-1.html,missing_poster_reference,No poster image reference found
1997/fsiff97-2.html,missing_imdb_link,No IMDB link in film card
1997/fsiff97-2.html,missing_poster_reference,No poster image reference found
1997/fsiff97-3.html,missing_imdb_link,No IMDB link in film card
1997/fsiff97-3.html,missing_poster_reference,No poster image reference found
1997/fsiff97.html,missing_director,No Director listed in film-credits
1997/fsiff97.html,missing_imdb_link,No IMDB link in film card
1997/fsiff97.html,missing_poster_reference,No poster image reference found
1997/ftaxi.html,missing_director,No Director listed in film-credits
1997/ftaxi.html,missing_imdb_link,No IMDB link in film card
1997/ftaxi.html,missing_poster_reference,No poster image reference found
1997/ftaxi.html,thin_content,Modern content is 2% of legacy length (469 vs 21849 chars)
1997/ftiff97-1.html,missing_director,No Director listed in film-credits
1997/ftiff97-1.html,missing_imdb_link,No IMDB link in film card
1997/ftiff97-1.html,missing_poster_reference,No poster image reference found
1997/ftiff97-2.html,missing_director,No Director listed in film-credits
1997/ftiff97-2.html,missing_imdb_link,No IMDB link in film card
1997/ftiff97-2.html,missing_poster_reference,No poster image reference found
1997/ftiff97-3.html,missing_imdb_link,No IMDB link in film card
1997/ftiff97-3.html,missing_poster_reference,No poster image reference found
1997/ftiff97.html,missing_director,No Director listed in film-credits
1997/ftiff97.html,missing_imdb_link,No IMDB link in film card
1997/ftiff97.html,missing_poster_reference,No poster image reference found
1997/ftitanic.html,missing_imdb_link,No IMDB link in film card
1997/ftitanic.html,missing_poster_reference,No poster image reference found
1997/r2girls.html,thin_content,Modern content is 0% of legacy length (0 vs 4657 chars)
1997/raceven.html,missing_director,No Director listed in film-credits
1997/raceven.html,missing_imdb_link,No IMDB link in film card
1997/raceven.html,missing_poster_reference,No poster image reference found
1997/rbatman.html,missing_imdb_link,No IMDB link in film card
1997/rbatman.html,missing_poster_reference,No poster image reference found
1997/rdevilo.html,missing_imdb_link,No IMDB link in film card
1997/rdevilo.html,missing_poster_reference,No poster image reference found
1997/repub.html,missing_director,No Director listed in film-credits
1997/repub.html,missing_imdb_link,No IMDB link in film card
1997/repub.html,missing_poster_reference,No poster image reference found
1997/rinout.html,missing_imdb_link,No IMDB link in film card
1997/rinout.html,missing_poster_reference,No poster image reference found
1997/rkids.html,empty_content,Article body has only 1 <p> tag(s)
1997/rkids.html,thin_content,Modern content is 0% of legacy length (0 vs 13381 chars)
1997/rsmoke.html,missing_imdb_link,No IMDB link in film card
1997/rsmoke.html,missing_poster_reference,No poster image reference found
1997/rtowong.html,missing_imdb_link,No IMDB link in film card
1997/rtowong.html,missing_poster_reference,No poster image reference found
1997/rvampires.html,missing_imdb_link,No IMDB link in film card
1997/rvampires.html,missing_poster_reference,No poster image reference found
1998/f1998recap.html,missing_director,No Director listed in film-credits
1998/f1998recap.html,missing_imdb_link,No IMDB link in film card
1998/f1998recap.html,missing_poster_reference,No poster image reference found
1998/faptpupil.html,missing_director,No Director listed in film-credits
1998/faptpupil.html,missing_imdb_link,No IMDB link in film card
1998/faptpupil.html,missing_poster_reference,No poster image reference found
1998/fberlin98-1.html,missing_director,No Director listed in film-credits
1998/fberlin98-1.html,missing_imdb_link,No IMDB link in film card
1998/fberlin98-1.html,missing_poster_reference,No poster image reference found
1998/fberlin98-2.html,missing_director,No Director listed in film-credits
1998/fberlin98-2.html,missing_imdb_link,No IMDB link in film card
1998/fberlin98-2.html,missing_poster_reference,No poster image reference found
1998/fberlin98-3.html,missing_director,No Director listed in film-credits
1998/fberlin98-3.html,missing_imdb_link,No IMDB link in film card
1998/fberlin98-3.html,missing_poster_reference,No poster image reference found
1998/fberlin98-4.html,missing_imdb_link,No IMDB link in film card
1998/fberlin98-4.html,missing_poster_reference,No poster image reference found
1998/fberlin98-5.html,missing_imdb_link,No IMDB link in film card
1998/fberlin98-5.html,missing_poster_reference,No poster image reference found
1998/fberlin98.html,missing_director,No Director listed in film-credits
1998/fberlin98.html,missing_imdb_link,No IMDB link in film card
1998/fberlin98.html,missing_poster_reference,No poster image reference found
1998/fcinefest98.html,missing_director,No Director listed in film-credits
1998/fcinefest98.html,missing_imdb_link,No IMDB link in film card
1998/fcinefest98.html,missing_poster_reference,No poster image reference found
1998/fcinefest98.html,thin_content,Modern content is 49% of legacy length (336 vs 685 chars)
1998/fgodmon.html,missing_director,No Director listed in film-credits
1998/fgodmon.html,missing_imdb_link,No IMDB link in film card
1998/fgodmon.html,missing_poster_reference,No poster image reference found
1998/fgodmon2.html,missing_imdb_link,No IMDB link in film card
1998/fgodmon2.html,missing_poster_reference,No poster image reference found
1998/fhappiness.html,missing_director,No Director listed in film-credits
1998/fhappiness.html,missing_imdb_link,No IMDB link in film card
1998/fhappiness.html,missing_poster_reference,No poster image reference found
1998/fofcs1998.html,missing_director,No Director listed in film-credits
1998/fofcs1998.html,missing_imdb_link,No IMDB link in film card
1998/fofcs1998.html,missing_poster_reference,No poster image reference found
1998/fofcs1998.html,thin_content,Modern content is 26% of legacy length (738 vs 2822 chars)
1998/foscar98-1.html,missing_imdb_link,No IMDB link in film card
1998/foscar98-1.html,missing_poster_reference,No poster image reference found
1998/foscar98-2.html,missing_imdb_link,No IMDB link in film card
1998/foscar98-2.html,missing_poster_reference,No poster image reference found
1998/foscar98.html,empty_content,Article body has only 1 <p> tag(s)
1998/foscar98.html,missing_director,No Director listed in film-credits
1998/foscar98.html,missing_imdb_link,No IMDB link in film card
1998/foscar98.html,missing_poster_reference,No poster image reference found
1998/foscar98.html,thin_content,Modern content is 14% of legacy length (80 vs 553 chars)
1998/fsiff98-1.html,missing_director,No Director listed in film-credits
1998/fsiff98-1.html,missing_imdb_link,No IMDB link in film card
1998/fsiff98-1.html,missing_poster_reference,No poster image reference found
1998/fsiff98-2.html,missing_director,No Director listed in film-credits
1998/fsiff98-2.html,missing_imdb_link,No IMDB link in film card
1998/fsiff98-2.html,missing_poster_reference,No poster image reference found
1998/fsiff98-3.html,missing_director,No Director listed in film-credits
1998/fsiff98-3.html,missing_imdb_link,No IMDB link in film card
1998/fsiff98-3.html,missing_poster_reference,No poster image reference found
1998/fsiff98-4.html,missing_director,No Director listed in film-credits
1998/fsiff98-4.html,missing_imdb_link,No IMDB link in film card
1998/fsiff98-4.html,missing_poster_reference,No poster image reference found
1998/fsiff98-5.html,missing_director,No Director listed in film-credits
1998/fsiff98-5.html,missing_imdb_link,No IMDB link in film card
1998/fsiff98-5.html,missing_poster_reference,No poster image reference found
1998/fsiff98.html,missing_director,No Director listed in film-credits
1998/fsiff98.html,missing_imdb_link,No IMDB link in film card
1998/fsiff98.html,missing_poster_reference,No poster image reference found
1998/ftiff98-1.html,missing_imdb_link,No IMDB link in film card
1998/ftiff98-1.html,missing_poster_reference,No poster image reference found
1998/ftiff98-2.html,missing_director,No Director listed in film-credits
1998/ftiff98-2.html,missing_imdb_link,No IMDB link in film card
1998/ftiff98-2.html,missing_poster_reference,No poster image reference found
1998/ftiff98-3.html,missing_imdb_link,No IMDB link in film card
1998/ftiff98-3.html,missing_poster_reference,No poster image reference found
1998/ftiff98.html,missing_director,No Director listed in film-credits
1998/ftiff98.html,missing_imdb_link,No IMDB link in film card
1998/ftiff98.html,missing_poster_reference,No poster image reference found
1998/ftwoorphans.html,missing_imdb_link,No IMDB link in film card
1998/ftwoorphans.html,missing_poster_reference,No poster image reference found
1998/rbillyshw.html,missing_imdb_link,No IMDB link in film card
1998/rbillyshw.html,missing_poster_reference,No poster image reference found
1998/rbugslife.html,missing_imdb_link,No IMDB link in film card
1998/rbugslife.html,missing_poster_reference,No poster image reference found
1998/rdance.html,thin_content,Modern content is 38% of legacy length (2071 vs 5315 chars)
1998/rfools.html,thin_content,Modern content is 33% of legacy length (1601 vs 4761 chars)
1998/rhomexmas.html,missing_imdb_link,No IMDB link in film card
1998/rhomexmas.html,missing_poster_reference,No poster image reference found
1998/rmafia.html,missing_imdb_link,No IMDB link in film card
1998/rmafia.html,missing_poster_reference,No poster image reference found
1998/rmonument.html,missing_imdb_link,No IMDB link in film card
1998/rparenttrap.html,thin_content,Modern content is 48% of legacy length (1837 vs 3767 chars)
1998/rpecker.html,thin_content,Modern content is 47% of legacy length (2230 vs 4684 chars)
1998/rratpack.html,thin_content,Modern content is 42% of legacy length (2492 vs 5905 chars)
1998/rsamuri.html,missing_imdb_link,No IMDB link in film card
1998/rsamuri.html,missing_poster_reference,No poster image reference found
1998/rsoldersd.html,missing_imdb_link,No IMDB link in film card
1998/rsoldersd.html,missing_poster_reference,No poster image reference found
1998/ryfriends.html,missing_imdb_link,No IMDB link in film card
1998/ryfriends.html,missing_poster_reference,No poster image reference found
1998/rygmail.html,missing_imdb_link,No IMDB link in film card
1998/rygmail.html,missing_poster_reference,No poster image reference found
1998/rzorro.html,thin_content,Modern content is 26% of legacy length (1393 vs 5348 chars)
1999/fabel.html,missing_director,No Director listed in film-credits
1999/fabel.html,missing_imdb_link,No IMDB link in film card
1999/fabel.html,missing_poster_reference,No poster image reference found
1999/fberlin99-1.html,missing_director,No Director listed in film-credits
1999/fberlin99-1.html,missing_imdb_link,No IMDB link in film card
1999/fberlin99-1.html,missing_poster_reference,No poster image reference found
1999/fberlin99-2.html,missing_director,No Director listed in film-credits
1999/fberlin99-2.html,missing_imdb_link,No IMDB link in film card
1999/fberlin99-2.html,missing_poster_reference,No poster image reference found
1999/fberlin99-3.html,missing_imdb_link,No IMDB link in film card
1999/fberlin99-3.html,missing_poster_reference,No poster image reference found
1999/fberlin99.html,missing_director,No Director listed in film-credits
1999/fberlin99.html,missing_imdb_link,No IMDB link in film card
1999/fberlin99.html,missing_poster_reference,No poster image reference found
1999/fbestman.html,missing_director,No Director listed in film-credits
1999/fbestman.html,missing_imdb_link,No IMDB link in film card
1999/fbestman.html,missing_poster_reference,No poster image reference found
1999/fboys.html,missing_director,No Director listed in film-credits
1999/fboys.html,missing_imdb_link,No IMDB link in film card
1999/fboys.html,missing_poster_reference,No poster image reference found
1999/fexistenz.html,missing_director,No Director listed in film-credits
1999/fexistenz.html,missing_imdb_link,No IMDB link in film card
1999/fexistenz.html,missing_poster_reference,No poster image reference found
1999/ffelicia.html,missing_director,No Director listed in film-credits
1999/ffelicia.html,missing_imdb_link,No IMDB link in film card
1999/ffelicia.html,missing_poster_reference,No poster image reference found
1999/fhitch100-1.html,missing_imdb_link,No IMDB link in film card
1999/fhitch100-1.html,missing_poster_reference,No poster image reference found
1999/fhitch100-2.html,missing_director,No Director listed in film-credits
1999/fhitch100-2.html,missing_imdb_link,No IMDB link in film card
1999/fhitch100-2.html,missing_poster_reference,No poster image reference found
1999/fhitch100-3.html,missing_director,No Director listed in film-credits
1999/fhitch100-3.html,missing_imdb_link,No IMDB link in film card
1999/fhitch100-3.html,missing_poster_reference,No poster image reference found
1999/fhitch100-4.html,missing_director,No Director listed in film-credits
1999/fhitch100-4.html,missing_imdb_link,No IMDB link in film card
1999/fhitch100-4.html,missing_poster_reference,No poster image reference found
1999/fhitch100-5.html,missing_imdb_link,No IMDB link in film card
1999/fhitch100-5.html,missing_poster_reference,No poster image reference found
1999/fhitch100.html,missing_director,No Director listed in film-credits
1999/fhitch100.html,missing_imdb_link,No IMDB link in film card
1999/fhitch100.html,missing_poster_reference,No poster image reference found
1999/fkubrick.html,missing_director,No Director listed in film-credits
1999/fkubrick.html,missing_imdb_link,No IMDB link in film card
1999/fkubrick.html,missing_poster_reference,No poster image reference found
1999/flastnight.html,missing_director,No Director listed in film-credits
1999/flastnight.html,missing_imdb_link,No IMDB link in film card
1999/flastnight.html,missing_poster_reference,No poster image reference found
1999/fmontreal99-1.html,missing_director,No Director listed in film-credits
1999/fmontreal99-1.html,missing_imdb_link,No IMDB link in film card
1999/fmontreal99-1.html,missing_poster_reference,No poster image reference found
1999/fmontreal99-2.html,missing_imdb_link,No IMDB link in film card
1999/fmontreal99-2.html,missing_poster_reference,No poster image reference found
1999/fmontreal99-3.html,missing_director,No Director listed in film-credits
1999/fmontreal99-3.html,missing_imdb_link,No IMDB link in film card
1999/fmontreal99-3.html,missing_poster_reference,No poster image reference found
1999/fmontreal99.html,missing_director,No Director listed in film-credits
1999/fmontreal99.html,missing_imdb_link,No IMDB link in film card
1999/fmontreal99.html,missing_poster_reference,No poster image reference found
1999/fnosferatu.html,missing_director,No Director listed in film-credits
1999/fnosferatu.html,missing_imdb_link,No IMDB link in film card
1999/fnosferatu.html,missing_poster_reference,No poster image reference found
1999/fnosferatu.html,thin_content,Modern content is 34% of legacy length (212 vs 620 chars)
1999/fnosferatu1.html,missing_director,No Director listed in film-credits
1999/fnosferatu1.html,missing_imdb_link,No IMDB link in film card
1999/fnosferatu1.html,missing_poster_reference,No poster image reference found
1999/fnosferatu2.html,missing_director,No Director listed in film-credits
1999/fnosferatu2.html,missing_imdb_link,No IMDB link in film card
1999/fnosferatu2.html,missing_poster_reference,No poster image reference found
1999/fnosferatu3.html,missing_imdb_link,No IMDB link in film card
1999/fnosferatu3.html,missing_poster_reference,No poster image reference found
1999/foscar99-1.html,missing_imdb_link,No IMDB link in film card
1999/foscar99-1.html,missing_poster_reference,No poster image reference found
1999/foscar99.html,empty_content,Article body has only 1 <p> tag(s)
1999/foscar99.html,missing_director,No Director listed in film-credits
1999/foscar99.html,missing_imdb_link,No IMDB link in film card
1999/foscar99.html,missing_poster_reference,No poster image reference found
1999/foscar99.html,thin_content,Modern content is 7% of legacy length (38 vs 501 chars)
1999/fpaganini.html,missing_imdb_link,No IMDB link in film card
1999/fpaganini.html,missing_poster_reference,No poster image reference found
1999/fprovidence.html,missing_director,No Director listed in film-credits
1999/fprovidence.html,missing_imdb_link,No IMDB link in film card
1999/fprovidence.html,missing_poster_reference,No poster image reference found
1999/fredviolin.html,missing_imdb_link,No IMDB link in film card
1999/fredviolin.html,missing_poster_reference,No poster image reference found
1999/frudy-1.html,missing_director,No Director listed in film-credits
1999/frudy-1.html,missing_imdb_link,No IMDB link in film card
1999/frudy-1.html,missing_poster_reference,No poster image reference found
1999/frudy-2.html,missing_director,No Director listed in film-credits
1999/frudy-2.html,missing_imdb_link,No IMDB link in film card
1999/frudy-2.html,missing_poster_reference,No poster image reference found
1999/frudy-3.html,missing_director,No Director listed in film-credits
1999/frudy-3.html,missing_imdb_link,No IMDB link in film card
1999/frudy-3.html,missing_poster_reference,No poster image reference found
1999/frudy.html,missing_director,No Director listed in film-credits
1999/frudy.html,missing_imdb_link,No IMDB link in film card
1999/frudy.html,missing_poster_reference,No poster image reference found
1999/frudy.html,thin_content,Modern content is 44% of legacy length (243 vs 547 chars)
1999/fsiff99-1.html,missing_imdb_link,No IMDB link in film card
1999/fsiff99-1.html,missing_poster_reference,No poster image reference found
1999/fsiff99-2.html,missing_imdb_link,No IMDB link in film card
1999/fsiff99-2.html,missing_poster_reference,No poster image reference found
1999/fsiff99-3.html,missing_director,No Director listed in film-credits
1999/fsiff99-3.html,missing_imdb_link,No IMDB link in film card
1999/fsiff99-3.html,missing_poster_reference,No poster image reference found
1999/fsiff99.html,missing_director,No Director listed in film-credits
1999/fsiff99.html,missing_imdb_link,No IMDB link in film card
1999/fsiff99.html,missing_poster_reference,No poster image reference found
1999/ftaos99.html,missing_director,No Director listed in film-credits
1999/ftaos99.html,missing_imdb_link,No IMDB link in film card
1999/ftaos99.html,missing_poster_reference,No poster image reference found
1999/ftiff99-1.html,missing_director,No Director listed in film-credits
1999/ftiff99-1.html,missing_imdb_link,No IMDB link in film card
1999/ftiff99-1.html,missing_poster_reference,No poster image reference found
1999/ftiff99.html,missing_director,No Director listed in film-credits
1999/ftiff99.html,missing_imdb_link,No IMDB link in film card
1999/ftiff99.html,missing_poster_reference,No poster image reference found
1999/ftiff99.html,thin_content,Modern content is 38% of legacy length (243 vs 632 chars)
1999/fwalkmoon.html,missing_director,No Director listed in film-credits
1999/fwalkmoon.html,missing_imdb_link,No IMDB link in film card
1999/fwalkmoon.html,missing_poster_reference,No poster image reference found
1999/fwif.html,missing_imdb_link,No IMDB link in film card
1999/fwif.html,missing_poster_reference,No poster image reference found
1999/fwoo.html,missing_director,No Director listed in film-credits
1999/fwoo.html,missing_imdb_link,No IMDB link in film card
1999/fwoo.html,missing_poster_reference,No poster image reference found
1999/rastro.html,missing_imdb_link,No IMDB link in film card
1999/rastro.html,missing_poster_reference,No poster image reference found
1999/rboys.html,missing_imdb_link,No IMDB link in film card
1999/rboys.html,missing_poster_reference,No poster image reference found
1999/rcookie.html,missing_imdb_link,No IMDB link in film card
1999/rcookie.html,missing_poster_reference,No poster image reference found
1999/rdoug.html,missing_imdb_link,No IMDB link in film card
1999/rdoug.html,missing_poster_reference,No poster image reference found
1999/rfelicia.html,missing_imdb_link,No IMDB link in film card
1999/rfelicia.html,missing_poster_reference,No poster image reference found
1999/rgalapagos.html,missing_director,No Director listed in film-credits
1999/rgalapagos.html,missing_imdb_link,No IMDB link in film card
1999/rgalapagos.html,missing_poster_reference,No poster image reference found
1999/rgendaught.html,missing_imdb_link,No IMDB link in film card
1999/rgendaught.html,missing_poster_reference,No poster image reference found
1999/rinstinct.html,missing_imdb_link,No IMDB link in film card
1999/rinstinct.html,missing_poster_reference,No poster image reference found
1999/rlostfound.html,missing_imdb_link,No IMDB link in film card
1999/rlostfound.html,missing_poster_reference,No poster image reference found
1999/rmessage.html,missing_imdb_link,No IMDB link in film card
1999/rmessage.html,missing_poster_reference,No poster image reference found
1999/rmidsummer.html,missing_imdb_link,No IMDB link in film card
1999/rmidsummer.html,missing_poster_reference,No poster image reference found
1999/rneddevine.html,empty_content,Article body has only 1 <p> tag(s)
1999/rsat.html,missing_imdb_link,No IMDB link in film card
1999/rsat.html,missing_poster_reference,No poster image reference found
1999/rsms.html,missing_director,No Director listed in film-credits
1999/rsms.html,missing_imdb_link,No IMDB link in film card
1999/rtrippin.html,missing_imdb_link,No IMDB link in film card
1999/rtrippin.html,missing_poster_reference,No poster image reference found
1999/rwindhorse.html,missing_poster_reference,No poster image reference found
2000/f1999recap.html,missing_imdb_link,No IMDB link in film card
2000/f1999recap.html,missing_poster_reference,No poster image reference found
2000/f5senses.html,missing_director,No Director listed in film-credits
2000/f5senses.html,missing_imdb_link,No IMDB link in film card
2000/f5senses.html,missing_poster_reference,No poster image reference found
2000/f9thgate.html,missing_imdb_link,No IMDB link in film card
2000/f9thgate.html,missing_poster_reference,No poster image reference found
2000/fampsycho.html,empty_content,Article body has only 1 <p> tag(s)
2000/fampsycho.html,missing_director,No Director listed in film-credits
2000/fampsycho.html,missing_imdb_link,No IMDB link in film card
2000/fampsycho.html,missing_poster_reference,No poster image reference found
2000/fampsycho.html,thin_content,Modern content is 13% of legacy length (67 vs 483 chars)
2000/fbambooz.html,missing_director,No Director listed in film-credits
2000/fbambooz.html,missing_imdb_link,No IMDB link in film card
2000/fbambooz.html,missing_poster_reference,No poster image reference found
2000/fberlin2K-1.html,missing_director,No Director listed in film-credits
2000/fberlin2K-1.html,missing_imdb_link,No IMDB link in film card
2000/fberlin2K-1.html,missing_poster_reference,No poster image reference found
2000/fberlin2K-2.html,missing_imdb_link,No IMDB link in film card
2000/fberlin2K-2.html,missing_poster_reference,No poster image reference found
2000/fberlin2K.html,missing_director,No Director listed in film-credits
2000/fberlin2K.html,missing_imdb_link,No IMDB link in film card
2000/fberlin2K.html,missing_poster_reference,No poster image reference found
2000/fbestinshow.html,missing_director,No Director listed in film-credits
2000/fbestinshow.html,missing_imdb_link,No IMDB link in film card
2000/fbestinshow.html,missing_poster_reference,No poster image reference found
2000/fcannes-1.html,missing_imdb_link,No IMDB link in film card
2000/fcannes-1.html,missing_poster_reference,No poster image reference found
2000/fcannes-2.html,missing_imdb_link,No IMDB link in film card
2000/fcannes-2.html,missing_poster_reference,No poster image reference found
2000/fcannes.html,missing_director,No Director listed in film-credits
2000/fcannes.html,missing_imdb_link,No IMDB link in film card
2000/fcannes.html,missing_poster_reference,No poster image reference found
2000/fcecil.html,missing_director,No Director listed in film-credits
2000/fcecil.html,missing_imdb_link,No IMDB link in film card
2000/fcecil.html,missing_poster_reference,No poster image reference found
2000/fcheerleader.html,missing_director,No Director listed in film-credits
2000/fcheerleader.html,missing_imdb_link,No IMDB link in film card
2000/fcheerleader.html,missing_poster_reference,No poster image reference found
2000/fcommitted.html,missing_director,No Director listed in film-credits
2000/fcommitted.html,missing_imdb_link,No IMDB link in film card
2000/fcommitted.html,missing_poster_reference,No poster image reference found
2000/fcorman.html,missing_director,No Director listed in film-credits
2000/fcorman.html,missing_imdb_link,No IMDB link in film card
2000/fcorman.html,missing_poster_reference,No poster image reference found
2000/fcwo-1.html,missing_director,No Director listed in film-credits
2000/fcwo-1.html,missing_imdb_link,No IMDB link in film card
2000/fcwo-1.html,missing_poster_reference,No poster image reference found
2000/fcwo-2.html,missing_director,No Director listed in film-credits
2000/fcwo-2.html,missing_imdb_link,No IMDB link in film card
2000/fcwo-2.html,missing_poster_reference,No poster image reference found
2000/fcwo-3.html,missing_director,No Director listed in film-credits
2000/fcwo-3.html,missing_imdb_link,No IMDB link in film card
2000/fcwo-3.html,missing_poster_reference,No poster image reference found
2000/fcwo.html,empty_content,Article body has only 1 <p> tag(s)
2000/fcwo.html,missing_director,No Director listed in film-credits
2000/fcwo.html,missing_imdb_link,No IMDB link in film card
2000/fcwo.html,missing_poster_reference,No poster image reference found
2000/fcwo.html,thin_content,Modern content is 25% of legacy length (101 vs 390 chars)
